date,home_team,away_team,home_score,away_score,tournament,country
2026-06-02,Colombia,Costa Rica,3,1,Friendly,Colombia
2026-06-02,Canada,Uzbekistan,2,0,Friendly,Canada
2026-06-02,Croatia,Belgium,0,2,Friendly,Croatia
2026-06-02,Morocco,Madagascar,4,0,Friendly,Morocco
2026-06-02,Wales,Ghana,1,1,Friendly,Wales
2026-06-05,Mexico,Serbia,5,1,Friendly,Mexico
2026-06-09,Argentina,Iceland,3,0,Friendly,United States
2026-06-09,Chile,DR Congo,2,1,Friendly,France
2026-06-09,Saudi Arabia,Senegal,0,0,Friendly,United States
2026-06-09,Hungary,Kazakhstan,3,1,Friendly,Hungary
2026-06-09,Russia,Trinidad and Tobago,3,0,Friendly,Russia
2026-06-11,Mexico,South Africa,2,0,World Cup,
2026-06-12,South Korea,Czechia,2,1,World Cup,
