team_name,year,squad_value_eur
Argentina,1930,500000
Belgium,1930,500000
Bolivia,1930,500000
Brazil,1930,500000
Chile,1930,500000
France,1930,500000
Mexico,1930,500000
Paraguay,1930,500000
Peru,1930,500000
Romania,1930,500000
Serbia,1930,500000
USA,1930,500000
Uruguay,1930,500000
Argentina,1934,700000
Austria,1934,700000
Belgium,1934,700000
Brazil,1934,700000
Czech Republic,1934,700000
Egypt,1934,700000
France,1934,700000
Germany,1934,700000
Hungary,1934,700000
Italy,1934,700000
Netherlands,1934,700000
Romania,1934,700000
Spain,1934,700000
Sweden,1934,700000
Switzerland,1934,700000
USA,1934,700000
Belgium,1938,900000
Brazil,1938,900000
Cuba,1938,900000
Czech Republic,1938,900000
France,1938,900000
Germany,1938,900000
Hungary,1938,900000
Indonesia,1938,900000
Italy,1938,900000
Netherlands,1938,900000
Norway,1938,900000
Poland,1938,900000
Romania,1938,900000
Sweden,1938,900000
Switzerland,1938,900000
Bolivia,1950,1200000
Brazil,1950,1200000
Chile,1950,1200000
England,1950,1200000
Italy,1950,1200000
Mexico,1950,1200000
Paraguay,1950,1200000
Serbia,1950,1200000
Spain,1950,1200000
Sweden,1950,1200000
Switzerland,1950,1200000
USA,1950,1200000
Uruguay,1950,1200000
Austria,1954,1500000
Belgium,1954,1500000
Brazil,1954,1500000
Czech Republic,1954,1500000
England,1954,1500000
France,1954,1500000
Germany,1954,1500000
Hungary,1954,1500000
Italy,1954,1500000
Mexico,1954,1500000
Scotland,1954,1500000
Serbia,1954,1500000
South Korea,1954,1500000
Switzerland,1954,1500000
Turkey,1954,1500000
Uruguay,1954,1500000
Argentina,1958,2000000
Austria,1958,2000000
Brazil,1958,2000000
Czech Republic,1958,2000000
England,1958,2000000
France,1958,2000000
Germany,1958,2000000
Hungary,1958,2000000
Mexico,1958,2000000
Northern Ireland,1958,2000000
Paraguay,1958,2000000
Russia,1958,2000000
Scotland,1958,2000000
Serbia,1958,2000000
Sweden,1958,2000000
Wales,1958,2000000
Argentina,1962,2800000
Brazil,1962,2800000
Bulgaria,1962,2800000
Chile,1962,2800000
Colombia,1962,2800000
Czech Republic,1962,2800000
England,1962,2800000
Germany,1962,2800000
Hungary,1962,2800000
Italy,1962,2800000
Mexico,1962,2800000
Russia,1962,2800000
Serbia,1962,2800000
Spain,1962,2800000
Switzerland,1962,2800000
Uruguay,1962,2800000
Argentina,1966,4000000
Brazil,1966,4000000
Bulgaria,1966,4000000
Chile,1966,4000000
England,1966,4000000
France,1966,4000000
Germany,1966,4000000
Hungary,1966,4000000
Italy,1966,4000000
Mexico,1966,4000000
North Korea,1966,4000000
Portugal,1966,4000000
Russia,1966,4000000
Spain,1966,4000000
Switzerland,1966,4000000
Uruguay,1966,4000000
Belgium,1970,6000000
Brazil,1970,6000000
Bulgaria,1970,6000000
Czech Republic,1970,6000000
El Salvador,1970,6000000
England,1970,6000000
Germany,1970,6000000
Israel,1970,6000000
Italy,1970,6000000
Mexico,1970,6000000
Morocco,1970,6000000
Peru,1970,6000000
Romania,1970,6000000
Russia,1970,6000000
Sweden,1970,6000000
Uruguay,1970,6000000
Argentina,1974,9000000
Australia,1974,9000000
Brazil,1974,9000000
Bulgaria,1974,9000000
Chile,1974,9000000
DR Congo,1974,9000000
Germany,1974,9000000
Haiti,1974,9000000
Italy,1974,9000000
Netherlands,1974,9000000
Poland,1974,9000000
Scotland,1974,9000000
Serbia,1974,9000000
Sweden,1974,9000000
Uruguay,1974,9000000
Argentina,1978,12000000
Austria,1978,12000000
Brazil,1978,12000000
France,1978,12000000
Germany,1978,12000000
Hungary,1978,12000000
Iran,1978,12000000
Italy,1978,12000000
Mexico,1978,12000000
Netherlands,1978,12000000
Peru,1978,12000000
Poland,1978,12000000
Scotland,1978,12000000
Spain,1978,12000000
Sweden,1978,12000000
Tunisia,1978,12000000
Algeria,1982,18000000
Argentina,1982,18000000
Austria,1982,18000000
Belgium,1982,18000000
Brazil,1982,18000000
Cameroon,1982,18000000
Chile,1982,18000000
Czech Republic,1982,18000000
El Salvador,1982,18000000
England,1982,18000000
France,1982,18000000
Germany,1982,18000000
Honduras,1982,18000000
Hungary,1982,18000000
Italy,1982,18000000
Kuwait,1982,18000000
New Zealand,1982,18000000
Northern Ireland,1982,18000000
Peru,1982,18000000
Poland,1982,18000000
Russia,1982,18000000
Scotland,1982,18000000
Serbia,1982,18000000
Spain,1982,18000000
Algeria,1986,28000000
Argentina,1986,28000000
Belgium,1986,28000000
Brazil,1986,28000000
Bulgaria,1986,28000000
Canada,1986,28000000
Denmark,1986,28000000
England,1986,28000000
France,1986,28000000
Germany,1986,28000000
Hungary,1986,28000000
Iraq,1986,28000000
Italy,1986,28000000
Mexico,1986,28000000
Morocco,1986,28000000
Northern Ireland,1986,28000000
Paraguay,1986,28000000
Poland,1986,28000000
Portugal,1986,28000000
Russia,1986,28000000
Scotland,1986,28000000
South Korea,1986,28000000
Spain,1986,28000000
Uruguay,1986,28000000
Argentina,1990,45000000
Austria,1990,45000000
Belgium,1990,45000000
Brazil,1990,45000000
Cameroon,1990,45000000
Colombia,1990,45000000
Costa Rica,1990,45000000
Czech Republic,1990,45000000
Egypt,1990,45000000
England,1990,45000000
Germany,1990,45000000
Italy,1990,45000000
Netherlands,1990,45000000
Republic of Ireland,1990,45000000
Romania,1990,45000000
Russia,1990,45000000
Scotland,1990,45000000
Serbia,1990,45000000
South Korea,1990,45000000
Spain,1990,45000000
Sweden,1990,45000000
USA,1990,45000000
United Arab Emirates,1990,45000000
Uruguay,1990,45000000
Argentina,1994,70000000
Belgium,1994,70000000
Bolivia,1994,70000000
Brazil,1994,70000000
Bulgaria,1994,70000000
Cameroon,1994,70000000
Colombia,1994,70000000
Germany,1994,70000000
Greece,1994,70000000
Italy,1994,70000000
Mexico,1994,70000000
Morocco,1994,70000000
Netherlands,1994,70000000
Nigeria,1994,70000000
Norway,1994,70000000
Republic of Ireland,1994,70000000
Romania,1994,70000000
Russia,1994,70000000
Saudi Arabia,1994,70000000
South Korea,1994,70000000
Spain,1994,70000000
Sweden,1994,70000000
Switzerland,1994,70000000
USA,1994,70000000
Argentina,1998,110000000
Austria,1998,110000000
Belgium,1998,110000000
Brazil,1998,110000000
Bulgaria,1998,110000000
Cameroon,1998,110000000
Chile,1998,110000000
Colombia,1998,110000000
Croatia,1998,110000000
Denmark,1998,110000000
England,1998,110000000
France,1998,110000000
Germany,1998,110000000
Iran,1998,110000000
Italy,1998,110000000
Jamaica,1998,110000000
Japan,1998,110000000
Mexico,1998,110000000
Morocco,1998,110000000
Netherlands,1998,110000000
Nigeria,1998,110000000
Norway,1998,110000000
Paraguay,1998,110000000
Romania,1998,110000000
Saudi Arabia,1998,110000000
Scotland,1998,110000000
Serbia,1998,110000000
South Africa,1998,110000000
South Korea,1998,110000000
Spain,1998,110000000
Tunisia,1998,110000000
USA,1998,110000000
Argentina,2002,125000
Belgium,2002,125000
Brazil,2002,125000
Cameroon,2002,125000
China,2002,125000
Costa Rica,2002,125000
Croatia,2002,125000
Denmark,2002,125000
Ecuador,2002,125000
England,2002,125000
France,2002,100000
Germany,2002,125000
Italy,2002,125000
Japan,2002,125000
Mexico,2002,125000
Nigeria,2002,125000
Paraguay,2002,125000
Poland,2002,125000
Portugal,2002,125000
Republic of Ireland,2002,125000
Russia,2002,125000
Saudi Arabia,2002,125000
Senegal,2002,125000
Slovenia,2002,125000
South Africa,2002,125000
South Korea,2002,125000
Spain,2002,125000
Sweden,2002,125000
Tunisia,2002,125000
Turkey,2002,125000
USA,2002,125000
Uruguay,2002,125000
Angola,2006,1200000
Argentina,2006,142950000
Australia,2006,4600000
Brazil,2006,170530000
Costa Rica,2006,1300000
Croatia,2006,3425000
Czech Republic,2006,48425000
Ecuador,2006,2650000
England,2006,413150000
France,2006,178200000
Germany,2006,166300000
Ghana,2006,43850000
Iran,2006,400000
Italy,2006,296250000
Ivory Coast,2006,6772500
Japan,2006,2100000
Mexico,2006,4300000
Netherlands,2006,77100001
Paraguay,2006,2575000
Poland,2006,20050000
Portugal,2006,107950000
Saudi Arabia,2006,6772500
Serbia,2006,40600000
South Korea,2006,11000000
Spain,2006,175600000
Sweden,2006,48400000
Switzerland,2006,26750000
Togo,2006,3500000
Trinidad and Tobago,2006,800000
Tunisia,2006,4950000
USA,2006,12950000
Ukraine,2006,19450000
Algeria,2010,25000000
Argentina,2010,393300000
Australia,2010,19250000
Brazil,2010,348300000
Cameroon,2010,90500000
Chile,2010,91550000
Denmark,2010,72250000
England,2010,67075000
France,2010,337250000
Germany,2010,345000000
Ghana,2010,52225000
Greece,2010,74700000
Honduras,2010,2450000
Italy,2010,289500000
Ivory Coast,2010,8512500
Japan,2010,31075000
Mexico,2010,41450000
Netherlands,2010,199250000
New Zealand,2010,2400000
Nigeria,2010,77050000
North Korea,2010,8512500
